package	version	description	category	test	doc	man	repo	path	deps
tclutils::common	0.1	shared helpers for tclutils modules	System · runtime	Y	Y	Y	tclutils	lib/tm/tclutils/common-0.1.tm	
tclutils::tuagrep	0.1	approximate grep-like routines in pure Tcl	Text · strings/coreutils	Y	Y	Y	tclutils	lib/tm/tclutils/tuagrep-0.1.tm	tclutils::tufuzzy
tclutils::tuappinfo	0.1	collect Tcl/Tk, executable, platform and environment info into a plain text report	System · runtime	Y	Y	Y	tclutils	lib/tm/tclutils/tuappinfo-0.1.tm	
tclutils::tuarchitecture	0.1	parse a Mermaid `architecture-beta` diagram into a tclutils::tudiagram model (SVG or PNG)	Diagrams · Mermaid	Y	Y	Y	tclutils	lib/tm/tclutils/tuarchitecture-0.1.tm	tclutils::common,tclutils::tudiagram
tclutils::tuawk	0.1	awk-style record/field processing	Text · strings/coreutils	Y	Y	Y	tclutils	lib/tm/tclutils/tuawk-0.1.tm	
tclutils::tubase32	0.1	RFC 4648 base32 (and base32hex) encode/decode.	Encoding · binary/checksums	Y	Y	Y	tclutils	lib/tm/tclutils/tubase32-0.1.tm	tclutils::common
tclutils::tubase64	0.1	base64 helpers using Tcl core binary encode/decode	Encoding · binary/checksums	Y	Y	Y	tclutils	lib/tm/tclutils/tubase64-0.1.tm	tclutils::common
tclutils::tubin	0.3	binary helper primitives in pure Tcl	Encoding · binary/checksums	Y	Y	Y	tclutils	lib/tm/tclutils/tubin-0.3.tm	
tclutils::tublock	0.1	parse a Mermaid `block-beta` diagram into a tclutils::tudiagram model (SVG or PNG)	Diagrams · Mermaid	Y	Y	Y	tclutils	lib/tm/tclutils/tublock-0.1.tm	tclutils::common,tclutils::tudiagram
tclutils::tubookmark	0.1	read and write the Netscape bookmark file format used by browsers for import/export	Data · structures & formats	Y	Y	Y	tclutils	lib/tm/tclutils/tubookmark-0.1.tm	tclutils::common,tclutils::tuxml
tclutils::tuc4	0.1	parse a Mermaid C4 diagram into a tclutils::tudiagram model.	Diagrams · Mermaid	Y	Y	Y	tclutils	lib/tm/tclutils/tuc4-0.1.tm	tclutils::common,tclutils::tudiagram
tclutils::tucal	0.1	cal-like calendar output in pure Tcl	Date · time/calendar	Y	Y	Y	tclutils	lib/tm/tclutils/tucal-0.1.tm	tclutils::common
tclutils::tucat	0.1	small portable cat-like helpers	Text · strings/coreutils	Y	Y	Y	tclutils	lib/tm/tclutils/tucat-0.1.tm	tclutils::common
